Dirección,Tipo de contenido,Código de respuesta,Respuesta,Indexabilidad,Estado de indexabilidad,Título 1,Longitud del título 1,Ancho de píxeles del título 1,Meta description 1,Longitud de la meta description 1,Ancho de píxeles de la meta description 1,Meta Keywords 1,Longitud de meta keywords 1,H1-1,Longitud de H1-1,H2-1,Longitud de H2-1,H2-2,Longitud de H2-2,Meta robots 1,X-Robots-Tag 1,Meta Refresh 1,Elemento de enlace canónico 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",Elemento de enlace amphtml,Tamaño (bytes),Transferido (bytes),Recuento de palabras,Número de oraciones,Media de palabras por oración,Puntuación de facilidad de lectura de Flesch,Lectura,Proporción de texto,Nivel de profundidad,Profundidad de carpeta,Link Score,Enlaces internos,Enlaces internos únicos,Enlaces JS únicos,% del total,Enlaces salientes,Enlaces salientes únicos,Enlaces salientes JS únicos,Enlaces salientes externos,Enlaces salientes externos únicos,Enlaces salientes JS externos únicos,Coincidencia de similitud más cercana,Semiduplicados (N.º),Errores ortográficos,Errores gramaticales,Hash,Tiempo de respuesta,Last Modified,URL de redirección,Tipo de redirección,Cookies,Versión HTTP,Dirección codificada de URL,Marca temporal del rastreo
https://pymempresas.com/,text/html,200,OK,Indexable,,Agencia de Posicionamiento WEB SEO Local | PYMEMPRESAS,54,553,Agencia de SEO Local en Asturias con más de 10 años de experiencia. Posicionamos tu negocio en Google para que tus clientes te encuentren primero. Consultoría gratuita.,168,1059,,0,Agencia de Posicionamiento Web SEO Local,40,Servicios de Posicionamiento SEO para Negocios,46,"Agencia de Marketing Digital en Gijón, Asturias especializada en SEO Local",74,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/,,,,,,103602,20354,747,141,"5,29787234","21,38537042",Muy difícil,"5,8893433",0,0,,86,16,0,100,50,14,0,1,1,0,,,,,e20799b6b1026e0929bf4fd7893648aa,"0,058","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/,2026-05-15 10:07:14
https://pymempresas.com/seo-local-oviedo/,text/html,200,OK,Indexable,,SEO Local Oviedo - Posiciona tu Negocio | PYMEMPRESAS,53,519,"Especialistas en SEO Local para negocios en Oviedo. Google My Business, directorios locales y posicionamiento web. Desde 297€/mes.",130,831,,0,SEO Local en Oviedo,19,¿Por qué el SEO Local es clave en Oviedo?,41,¿Qué es el SEO Local?,21,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/seo-local-oviedo/,,,,,,131544,24687,1596,267,"5,97752809","34,16517741",Difícil,"9,595951",1,1,,42,16,0,100,49,14,0,0,0,0,,,,,7e47dc4954ecc07c0ff63f43868a3a80,"0,03","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/seo-local-oviedo/,2026-05-15 10:07:16
https://pymempresas.com/google-negocios/,text/html,200,OK,Indexable,,Google para Negocios - Optimización de Perfil de Empresa | PYMEMPRESAS,70,679,Especialistas en optimizar tu Perfil de Empresa de Google (Google My Business) en Asturias. Aparece en Google Maps y domina las búsquedas locales. Desde 297€/mes.,162,1040,,0,Google para Negocios: Haz que tus clientes te encuentren primero,64,¿Qué es Google Negocios?,24,"El ""Local Pack"" de Google",25,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/google-negocios/,,,,,,122741,24115,1285,215,"5,976744186","29,00097819",Muy difícil,"8,063659",1,1,,37,16,0,100,46,14,0,0,0,0,,,,,c286fff4fca4c8a3750335bf81d760a2,"0,096","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/google-negocios/,2026-05-15 10:07:16
https://pymempresas.com/blog/,text/html,200,OK,Indexable,,Blog — PYMEMPRESAS,18,208,"Artículos sobre SEO, marketing digital, IA y automatizaciones para empresas en Asturias.",88,549,,0,Artículos y Recursos,20,¿Es caro el posicionamiento Web para negocios?,46,SEO Local para Empresas en Asturias: Guía 2025,46,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/blog/,,,,,,87700,17015,246,42,"5,857142857","30,65829268",Difícil,"2,7632563",1,1,,35,16,0,100,44,16,0,0,0,0,,,,,d6cb560f85088e8e7cff33c91ef78e54,"0,085","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/blog/,2026-05-15 10:07:16
https://pymempresas.com/diseno-web-gijon/,text/html,200,OK,Indexable,,Diseño de Páginas WEB en Gijón | PYMEMPRESAS,44,447,"Creamos páginas web que convierten visitantes en clientes. Diseño moderno, velocidad optimizada y SEO integrado para que tu negocio destaque en Gijón.",150,955,,0,Diseño de páginas Web en Gijón,30,¿Por qué necesitas un Diseño Web Profesional?,45,Tipos de Diseño Web,19,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/diseno-web-gijon/,,,,,,121168,23583,1284,249,"5,156626506","24,82392129",Muy difícil,"8,598162",1,1,,51,16,0,100,47,14,0,0,0,0,,,,,98c7dc7be891a04b79bad93132b4302d,"0,183","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/diseno-web-gijon/,2026-05-15 10:07:16
https://pymempresas.com/inteligencia-artificial-empresas/,text/html,200,OK,Indexable,,Inteligencia Artificial para Empresas | PYMEMPRESAS,51,480,"Impulsa tu negocio con Inteligencia Artificial en Asturias. Consultoría de IA para empresas: automatización, análisis de datos y eficiencia.",140,843,,0,Inteligencia Artificial para Empresas en Gijón: Soluciones y Consultoría,72,¿Cómo puede la Inteligencia Artificial ayudar a las empresas de Gijón?,70,Servicios de implementación de IA en tu negocio,47,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/inteligencia-artificial-empresas/,,,,,,112790,21600,857,146,"5,869863014","14,79657562",Muy difícil,"6,4137654",1,1,,54,16,0,100,43,14,0,0,0,0,,,,,763b799dd3a90ba8d43bdd008f803fc0,"0,039","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/inteligencia-artificial-empresas/,2026-05-15 10:07:16
https://pymempresas.com/formacion-ia-empresas/,text/html,200,OK,Indexable,,Formación en Inteligencia Artificial para Empresas en Gijón | PYMEMPRESAS,73,685,Capacita a tu equipo con cursos prácticos de IA en Gijón y Asturias. Aumenta la productividad hasta un 40% con formación especializada en inteligencia artificial.,162,994,,0,Formación en Inteligencia Artificial para Empresas en Gijón,59,¿Por qué formar a tu equipo en IA?,34,Nuestros Cursos de IA para Negocios en Asturias,47,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/formacion-ia-empresas/,,,,,,125261,23320,906,152,"5,960526316","15,52413864",Muy difícil,"6,298749",1,1,,57,16,0,100,46,14,0,0,0,0,,,,,a287338c5ee4d6a5b8c7857069eca10,"0,1","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/formacion-ia-empresas/,2026-05-15 10:07:16
https://pymempresas.com/consultoria/,text/html,200,OK,Indexable,,Consultoría Gratuita de tu Negocio Digital | PYMEMPRESAS,56,528,"Solicita tu consultoría gratuita de marketing digital. Analizamos tu web, detectamos qué falla y te decimos qué tocar. Sin compromiso. Respuesta en menos de 24 horas.",166,1038,,0,Consultoría Gratuita de tu negocio digital,42,Todo lo que obtienes en tu consultoría,38,Lo que dicen nuestros clientes,30,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/consultoria/,,,,,,100131,19331,396,82,"4,829268293","37,64692905",Difícil,"3,407615",1,1,,63,16,0,100,41,14,0,0,0,0,,,,,56adaab36d22121dd9fc9897227531f9,"0,118","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/consultoria/,2026-05-15 10:07:16
https://pymempresas.com/contacto/,text/html,200,OK,Indexable,,Contacto — PYMEMPRESAS,22,250,"Contacta con PYMEMPRESAS. Solicita tu consultoría gratuita de SEO y marketing digital en Gijón, Asturias.",105,660,,0,Solicita Información,20,Configuración de cookies,24,,0,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/contacto/,,,,,,87363,17269,153,43,"3,558139535","24,62348837",Muy difícil,"2,1353705",1,1,,38,16,0,100,40,14,0,0,0,0,,,,,9c8d97e58a1e082809fb2c826eb76e39,"0,037","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/contacto/,2026-05-15 10:07:16
https://pymempresas.com/seo-local-gijon/,text/html,200,OK,Indexable,,SEO Local Gijón - Posiciona tu Negocio | PYMEMPRESAS,52,503,"Especialistas en SEO Local para negocios en Gijón. Google My Business, directorios locales y posicionamiento web. Desde 297€/mes.",129,820,,0,SEO Local en Gijón para Negocios y PYMES,40,¿Qué es el SEO Local en Gijón?,30,Beneficios del SEO Local,24,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/seo-local-gijon/,,,,,,129283,24533,1383,224,"6,174107143","38,89235934",Difícil,"8,336846",1,1,,59,16,0,100,48,14,0,0,0,0,,,,,97e4410878154e93f3e10c3c363d3f0a,"0,068","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/seo-local-gijon/,2026-05-15 10:07:16
https://pymempresas.com/posicionamiento-web-asturias/,text/html,200,OK,Indexable,,Posicionamiento Web SEO + LLM | Aparece en Google y ChatGPT | PYMEMPRESAS,73,739,"Posicionamiento web en Asturias que combina SEO tradicional con optimización para LLMs. Aparece en Google, ChatGPT, Perplexity y Claude. Desde 397€/mes.",152,991,,0,Posicionamiento WEB en Buscadores e IA en Asturias,50,Aparecer en los Buscadores Ya no es lo que era,46,Por Qué Necesitas Posicionamiento Web SEO + IA,46,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/posicionamiento-web-asturias/,,,,,,148564,26940,1709,308,"5,548701299","27,15181014",Muy difícil,"9,572165",1,1,,60,16,0,100,48,14,0,1,1,0,,,,,41cf9dc0323c9ab24f5b370a6055d769,"0,078","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/posicionamiento-web-asturias/,2026-05-15 10:07:16
https://pymempresas.com/aviso-legal/,text/html,200,OK,No indexable,noindex,Aviso Legal — PYMEMPRESAS,25,272,Aviso legal de PYMEMPRESAS. Información sobre la titularidad del sitio web y condiciones de uso conforme a la LSSI.,115,722,,0,Aviso Legal,11,1. Titularidad del sitio web,28,2. Condiciones de uso,21,"noindex, follow",,,https://pymempresas.com/aviso-legal/,,,,,,78276,15244,313,59,"5,305084746","26,57430064",Muy difícil,"3,7203617",1,1,,33,16,0,100,40,14,0,0,0,0,,,,,3355d2f0c3e3a7eb775a4f0cac6fae6d,"0,162","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/aviso-legal/,2026-05-15 10:07:16
https://pymempresas.com/automatizaciones-con-ia/,text/html,200,OK,Indexable,,Automatizaciones con Inteligencia Artificial para Empresas en Gijón | PYMEMPRESAS,81,762,"Transforma tu negocio con automatizaciones inteligentes. Ahorra tiempo, reduce errores y aumenta la productividad con soluciones de IA diseñadas para empresas de Gijón y Asturias.",179,1134,,0,Automatizaciones con Inteligencia Artificial para Empresas en Gijón,67,¿Qué es la automatización con IA y cómo funciona?,49,¿Qué se puede automatizar con IA en las empresas?,49,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/automatizaciones-con-ia/,,,,,,136172,23113,1169,217,"5,387096774","7,19960319",Muy difícil,"7,9666696",1,1,,55,16,0,100,44,14,0,1,1,0,,,,,dd28881178d31f2181b5539a4968e45a,"0,038","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/automatizaciones-con-ia/,2026-05-15 10:07:16
https://pymempresas.com/politica-privacidad/,text/html,200,OK,No indexable,noindex,Política de Privacidad — PYMEMPRESAS,36,362,Política de privacidad de PYMEMPRESAS. Información sobre el tratamiento de datos personales conforme al RGPD.,109,713,,0,Política de Privacidad,22,1. Responsable del tratamiento,30,2. Datos recopilados,20,"noindex, follow",,,https://pymempresas.com/politica-privacidad/,,,,,,77737,14962,221,54,"4,092592593","7,833054718",Muy difícil,"3,1153462",1,1,,36,16,0,100,39,14,0,0,0,0,,,,,be8b2f5423443137eac4be2bf505357c,"0,029","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/politica-privacidad/,2026-05-15 10:07:16
https://pymempresas.com/es-caro-el-posicionamiento-web-para-negocios/,text/html,200,OK,Indexable,,¿Es caro el posicionamiento Web para negocios? — PYMEMPRESAS,60,601,"Descubre por qué el SEO no es un gasto sino un activo digital que crece con el tiempo. La pregunta correcta no es cuánto cuesta, sino cuánto te está costando no hacerlo.",169,1045,,0,¿Es caro el posicionamiento Web para negocios?,46,El gran malentendido: SEO caro vs. SEO valioso,46,Por qué el posicionamiento web es cada vez más caro,51,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/es-caro-el-posicionamiento-web-para-negocios/,,,,,,109837,23039,1113,178,"6,252808989","38,35740157",Difícil,"7,376749",2,1,,5,3,0,"18,75",47,16,0,4,4,0,,,,,cba3c588729fd94a398f0f278f11159,"0,033","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/es-caro-el-posicionamiento-web-para-negocios/,2026-05-15 10:07:16
https://pymempresas.com/seo-local-empresas-asturias/,text/html,200,OK,Indexable,,SEO Local para Empresas en Asturias: Guía 2025 — PYMEMPRESAS,60,604,"Descubre cómo el SEO local puede transformar la visibilidad de tu negocio en Gijón, Oviedo y toda Asturias. Estrategias prácticas y casos reales.",145,886,,0,SEO Local para Empresas en Asturias: Guía 2025,46,¿Por qué es importante el SEO Local?,36,Elementos clave del SEO Local,29,"index, follow, max-snippet:-1, max-image-preview:large",,,https://pymempresas.com/seo-local-empresas-asturias/,,,,,,104135,21166,597,98,"6,091836735","34,7110822",Difícil,"4,6452565",2,1,,5,3,0,"18,75",44,16,0,4,4,0,,,,,e32fd48c1df213f079047e2fface5113,"0,03","Fri, 15 May 2026 07:20:17 GMT",,,,1.1,https://pymempresas.com/seo-local-empresas-asturias/,2026-05-15 10:07:17