Date,Clicks,Impressions,CTR,Position
2026-02-05,0,75,0%,64.4
2026-02-06,0,90,0%,60.8
2026-02-07,0,29,0%,76.9
2026-02-08,0,60,0%,69.6
2026-02-09,0,98,0%,70.8
2026-02-10,0,75,0%,65.7
2026-02-11,0,95,0%,70.3
2026-02-12,1,101,0.99%,73.8
2026-02-13,0,72,0%,63.6
2026-02-14,0,58,0%,77.6
2026-02-15,0,80,0%,80.1
2026-02-16,0,95,0%,79.9
2026-02-17,1,83,1.2%,71
2026-02-18,0,90,0%,76.4
2026-02-19,0,121,0%,74.2
2026-02-20,0,107,0%,75.6
2026-02-21,0,81,0%,84.3
2026-02-22,0,77,0%,77.5
2026-02-23,0,75,0%,63.4
2026-02-24,0,77,0%,75.2
2026-02-25,0,81,0%,76.1
2026-02-26,0,85,0%,77.7
2026-02-27,0,114,0%,76.2
2026-02-28,0,96,0%,79.6
2026-03-01,0,104,0%,79.2
2026-03-02,0,111,0%,70.3
2026-03-03,0,82,0%,79.8
2026-03-04,0,167,0%,64.5
2026-03-05,0,170,0%,61.2
2026-03-06,0,151,0%,62.1
2026-03-07,1,157,0.64%,63.7
2026-03-08,0,157,0%,62.5
2026-03-09,1,205,0.49%,52.2
2026-03-10,0,168,0%,59.7
2026-03-11,0,180,0%,57.3
2026-03-12,0,225,0%,56.9
2026-03-13,0,206,0%,58
2026-03-14,0,257,0%,59.6
2026-03-15,0,114,0%,64.2
2026-03-16,0,217,0%,59.7
2026-03-17,0,195,0%,60.4
2026-03-18,0,240,0%,59.7
2026-03-19,0,219,0%,58.4
2026-03-20,0,225,0%,57.2
2026-03-21,0,188,0%,56.9
2026-03-22,0,185,0%,55.8
2026-03-23,0,180,0%,53.3
2026-03-24,0,57,0%,47
2026-03-25,0,35,0%,63.1
2026-03-26,0,34,0%,49.6
2026-03-27,0,54,0%,47.3
2026-03-28,0,39,0%,47.2
2026-03-29,0,84,0%,53
2026-03-30,0,78,0%,50.7
2026-03-31,0,99,0%,50.7
2026-04-01,0,168,0%,48.8
2026-04-02,0,152,0%,57.2
2026-04-03,0,158,0%,53.8
2026-04-04,0,163,0%,56.3
2026-04-05,0,147,0%,57.4
2026-04-06,0,172,0%,58.8
2026-04-07,0,159,0%,60
2026-04-08,0,162,0%,58.6
2026-04-09,0,174,0%,62.1
2026-04-10,0,155,0%,62.5
2026-04-11,0,150,0%,65.1
2026-04-12,0,160,0%,64.1
2026-04-13,0,146,0%,63.5
2026-04-14,0,149,0%,65
2026-04-15,0,159,0%,64.1
2026-04-16,0,173,0%,66.4
2026-04-17,0,188,0%,64.6
2026-04-18,0,160,0%,68.3
2026-04-19,0,160,0%,66.6
2026-04-20,0,160,0%,70.5
2026-04-21,0,166,0%,63.5
2026-04-22,0,170,0%,62.7
2026-04-23,0,184,0%,64.5
2026-04-24,0,190,0%,65.2
2026-04-25,0,142,0%,66.2
2026-04-26,0,159,0%,65.6
2026-04-27,0,163,0%,64
2026-04-28,0,121,0%,71.2
2026-04-29,0,118,0%,69.1
2026-04-30,0,127,0%,69.3
2026-05-01,0,119,0%,61
2026-05-02,0,127,0%,71.7
2026-05-03,0,148,0%,59.2
2026-05-04,0,142,0%,67.1