Country,Clicks,Impressions,CTR,Position
Spain,4,11674,0.03%,64.33
United States,0,121,0%,11.35
Canada,0,22,0%,4.55
Netherlands,0,12,0%,6.75
India,0,8,0%,29.5
Brazil,0,4,0%,3
United Kingdom,0,4,0%,5.5
Germany,0,4,0%,13.75
Mexico,0,4,0%,20.5
Chile,0,3,0%,30
China,0,2,0%,5.5
Ecuador,0,2,0%,9
Argentina,0,2,0%,9.5
Peru,0,2,0%,13
Australia,0,2,0%,13.5
Greece,0,2,0%,13.5
France,0,2,0%,21
Hong Kong,0,2,0%,27.5
Singapore,0,1,0%,1
Sweden,0,1,0%,3
Turkey,0,1,0%,3
Italy,0,1,0%,5
Indonesia,0,1,0%,7
Trinidad & Tobago,0,1,0%,7
Dominican Republic,0,1,0%,8
Finland,0,1,0%,8
Japan,0,1,0%,8
Morocco,0,1,0%,8
Poland,0,1,0%,10
Saudi Arabia,0,1,0%,11
South Korea,0,1,0%,13
Ukraine,0,1,0%,14
Estonia,0,1,0%,18
Switzerland,0,1,0%,28
Malaysia,0,1,0%,33